date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-10-07,62810.93,64467.02,62113.28,62200.28,10707.1500015,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,719501,15.187683,717392,2025-06-29 17:05:04.117435,63133.453,62226.046707943475,51.04028220604124,439.0390146482896,746.0090507102465,66262.26891248269,60004.63708751731,6257.631824965378
2024-10-08,62203.82,63191.05,61824.48,62122.02,6566.33034742,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,822783,14.45446138,711462,2025-06-29 17:05:04.117435,63151.09500000001,62216.13940242505,50.70025389418579,381.7589366364555,673.1590278954883,66252.8034377067,60049.386562293315,6203.416875413379
2024-10-09,62118.44,62507.68,60255.0,60578.28,7582.36723494,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,668278,15.04769008,534258,2025-06-29 17:05:04.117435,63032.002,62060.152792670284,44.414646901406485,209.3835030187911,580.403922920149,66330.55400116427,59733.44999883572,6597.104002328553
2024-10-10,60578.28,61271.59,58863.9,60279.53,10462.57962276,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,679738,25.35958928,759342,2025-06-29 17:05:04.117435,62885.444,61890.56966955883,43.29597418757991,48.113479494757485,473.94583423507066,66393.05898126816,59377.82901873184,7015.229962536316
2024-10-11,60279.53,63416.7,60029.98,62518.75,11454.9900534,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,718986,45.73079814,631180,2025-06-29 17:05:04.117435,62843.24450000001,61950.39636769608,52.87647358510575,99.84125616971869,399.1249186220003,66347.18089628631,59339.30810371371,7007.872792572605
2024-10-12,62518.75,63474.25,62464.15,63187.47,3943.90648994,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,606243,44.38733295,732389,2025-06-29 17:05:04.117435,62823.735,62068.212904105974,55.305119842568544,192.5761096196802,357.8151568215363,66315.42124027143,59332.04875972857,6983.372480542865
2024-10-13,63183.08,63270.18,62033.0,62845.3,2257.61460657,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,609844,24.42843919,643752,2025-06-29 17:05:04.117435,62799.05649999999,62142.221198953026,53.777862173650504,235.7414095064596,333.40040735852097,66282.79829342439,59315.3147065756,6967.4835868487935
2024-10-14,62847.89,66500.0,62426.67,66065.65,13638.71106556,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,722649,25.83263721,609666,2025-06-29 17:05:04.117435,62888.692500000005,62515.881084767025,63.885949885486475,523.7678819589928,371.47390227861536,66604.06387219361,59173.3211278064,7430.742744387215
2024-10-15,66065.64,67944.76,64778.44,67056.6,16324.01191342,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,787245,25.75104629,648296,2025-06-29 17:05:04.117435,63084.978,62948.3305052654,66.32625297016439,822.5109258239827,461.68130698768886,67221.69543090882,58948.26056909118,8273.434861817637
2024-10-16,67056.62,68399.0,66743.0,67608.44,12465.75691229,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,614677,61.92289461,722995,2025-06-29 17:05:04.117435,63206.5395,63392.15045714489,67.63770672293671,1091.2169467914355,587.5884349484382,67708.7808367988,58704.298163201194,9004.48267359761
