asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-08-14 00:00:00+00:00,662757,7.93335583,510189,2025-06-29 16:50:53.838759
btc,2024-08-15 00:00:00+00:00,715632,8.62865215,658114,2025-06-29 16:50:53.838759
btc,2024-08-16 00:00:00+00:00,700335,8.79411815,581170,2025-06-29 16:50:53.838759
btc,2024-08-17 00:00:00+00:00,612305,7.26972032,706066,2025-06-29 16:50:53.838759
btc,2024-08-18 00:00:00+00:00,588717,7.38767581,758170,2025-06-29 16:50:53.838759
btc,2024-08-19 00:00:00+00:00,687027,9.13703766,560243,2025-06-29 16:50:53.838759
btc,2024-08-20 00:00:00+00:00,696903,9.64437192,715687,2025-06-29 16:50:53.838759
btc,2024-08-21 00:00:00+00:00,711700,8.53354842,684872,2025-06-29 16:50:53.838759
btc,2024-08-22 00:00:00+00:00,719227,100.34522908,797502,2025-06-29 16:50:53.838759
btc,2024-08-23 00:00:00+00:00,694990,9.65522128,799006,2025-06-29 16:50:53.838759
btc,2024-08-24 00:00:00+00:00,611271,7.43903817,797698,2025-06-29 16:50:53.838759
btc,2024-08-25 00:00:00+00:00,539499,7.10675825,703385,2025-06-29 16:50:53.838759
btc,2024-08-26 00:00:00+00:00,656542,8.41735831,606871,2025-06-29 16:50:53.838759
btc,2024-08-27 00:00:00+00:00,685194,7.7773379,676465,2025-06-29 16:50:53.838759
btc,2024-08-28 00:00:00+00:00,740845,7.74423375,721912,2025-06-29 16:50:53.838759
btc,2024-08-29 00:00:00+00:00,723280,8.19689202,525910,2025-06-29 16:50:53.838759
btc,2024-08-30 00:00:00+00:00,826297,7.9546598,548197,2025-06-29 16:50:53.838759
btc,2024-08-31 00:00:00+00:00,670825,6.4177164,695519,2025-06-29 16:50:53.838759
btc,2024-09-01 00:00:00+00:00,660770,6.3825282,656333,2025-06-29 16:50:53.838759
btc,2024-09-02 00:00:00+00:00,717673,7.69021658,739986,2025-06-29 16:50:53.838759
